Calibration,1,18h2m17s," "," ",,,,,,,,,
"Time, s",Light,Threshold,,,,,,,,Time,ThreshHold,Time,ThreshHold
,,,,,,,,,,7.123,208,4.456,208
,,,,,,,,,,7.139,208,4.456,208
,,,,,,,,,,7.155,208,4.456,210
,,,,,,,,,,7.172,210,4.456,210
,,,,,,,,,,7.188,208,4.456,210
,,,,,,,,,,7.204,210,4.456,208
,,,,,,,,,,7.221,208,4.456,210
,,,,,,,,,,7.238,210,4.456,208
,,,,,,,,,,7.256,210,4.456,208
,,,,,,,,,,7.272,210,4.456,208
,,,,,,,,,,7.288,210,4.456,208
,,,,,,,,,,7.306,210,4.456,206
,,,,,,,,,,7.323,210,4.456,208
,,,,,,,,,,7.339,210,4.456,208
,,,,,,,,,,7.355,210,4.456,208
,,,,,,,,,,7.372,208,4.456,208
,,,,,,,,,,7.388,208,4.456,208
,,,,,,,,,,7.405,208,4.456,206
,,,,,,,,,,7.422,208,4.456,206
,,,,,,,,,,7.439,208,4.456,208
,,,,,,,,,,7.455,208,4.456,206
,,,,,,,,,,7.472,208,4.456,206
,,,,,,,,,,7.489,208,4.456,208
,,,,,,,,,,7.506,208,4.456,206
,,,,,,,,,,7.522,208,4.456,208
,,,,,,,,,,7.539,208,4.456,208
,,,,,,,,,,7.556,208,4.456,208
,,,,,,,,,,7.572,208,4.456,208
,,,,,,,,,,7.589,210,4.456,208
,,,,,,,,,,7.605,208,4.456,208
,,,,,,,,,,7.622,206,4.456,208
,,,,,,,,,,7.639,206,4.456,206
,,,,,,,,,,7.655,206,4.456,206
,,,,,,,,,,7.673,206,4.456,208
,,,,,,,,,,7.689,206,4.456,208
,,,,,,,,,,7.705,204,4.456,208
,,,,,,,,,,7.723,204,4.456,208
,,,,,,,,,,7.739,202,4.456,208
,,,,,,,,,,7.755,202,4.456,208
,,,,,,,,,,7.771,200,4.456,208
,,,,,,,,,,7.788,196,4.456,208
,,,,,,,,,,7.806,192,4.456,208
,,,,,,,,,,7.822,190,4.456,208
,,,,,,,,,,7.839,186,4.456,208
,,,,,,,,,,7.857,180,4.456,208
,,,,,,,,,,7.872,174,4.456,208
,,,,,,,,,,7.889,166,4.456,206
,,,,,,,,,,7.905,148,4.456,206
,,,,,,,,,,7.923,112,4.456,204
,,,,,,,,,,7.939,102,4.456,204
,,,,,,,,,,7.955,96,4.456,204
,,,,,,,,,,7.972,94,4.456,202
,,,,,,,,,,7.989,92,4.456,202
,,,,,,,,,,8.006,90,4.456,200
,,,,,,,,,,8.022,88,4.456,202
,,,,,,,,,,8.039,90,4.456,200
,,,,,,,,,,8.055,88,4.456,200
,,,,,,,,,,8.072,88,4.456,200
,,,,,,,,,,8.09,88,4.456,202
,,,,,,,,,,8.106,88,4.456,202
,,,,,,,,,,8.122,90,4.456,202
,,,,,,,,,,8.138,96,4.456,202
,,,,,,,,,,8.156,98,4.456,202
,,,,,,,,,,8.173,100,4.456,202
,,,,,,,,,,8.19,100,4.456,202
,,,,,,,,,,8.206,100,4.456,202
,,,,,,,,,,8.222,98,4.456,202
,,,,,,,,,,8.239,98,4.456,202
,,,,,,,,,,8.256,98,4.456,204
,,,,,,,,,,8.272,98,4.456,202
,,,,,,,,,,8.288,94,4.456,202
,,,,,,,,,,8.305,90,4.456,202
,,,,,,,,,,8.322,88,4.456,202
,,,,,,,,,,8.338,84,4.456,202
,,,,,,,,,,8.356,80,4.456,202
,,,,,,,,,,8.372,78,4.456,202
,,,,,,,,,,8.388,76,4.456,202
,,,,,,,,,,8.406,74,4.456,202
,,,,,,,,,,8.422,74,4.456,202
,,,,,,,,,,8.439,74,4.456,202
,,,,,,,,,,8.456,74,4.456,202
,,,,,,,,,,8.472,74,4.456,202
,,,,,,,,,,8.489,72,4.456,202
,,,,,,,,,,8.505,72,4.456,202
,,,,,,,,,,8.523,70,4.456,202
,,,,,,,,,,8.539,68,4.456,202
,,,,,,,,,,8.556,66,4.456,202
,,,,,,,,,,8.572,66,4.456,200
,,,,,,,,,,8.588,66,4.456,200
,,,,,,,,,,8.605,66,4.456,200
,,,,,,,,,,8.623,66,4.456,200
,,,,,,,,,,8.639,66,4.456,200
,,,,,,,,,,8.656,66,4.456,200
,,,,,,,,,,8.673,66,4.456,200
,,,,,,,,,,8.689,66,4.456,200
,,,,,,,,,,8.706,66,4.456,200
,,,,,,,,,,8.723,66,4.456,200
,,,,,,,,,,8.739,66,4.456,200
,,,,,,,,,,8.755,66,4.456,200
,,,,,,,,,,8.773,66,4.456,200
,,,,,,,,,,8.789,66,4.456,200
,,,,,,,,,,8.805,66,4.456,200
,,,,,,,,,,8.823,66,4.456,200
,,,,,,,,,,8.839,66,4.456,200
,,,,,,,,,,8.855,66,4.456,200
,,,,,,,,,,8.872,68,4.456,200
,,,,,,,,,,8.889,66,4.456,200
,,,,,,,,,,8.906,64,4.456,200
,,,,,,,,,,8.922,64,4.456,200
,,,,,,,,,,8.939,64,4.456,200
,,,,,,,,,,8.955,62,4.456,200
,,,,,,,,,,8.972,62,4.456,200
,,,,,,,,,,8.989,62,4.456,200
,,,,,,,,,,9.005,62,4.456,200
,,,,,,,,,,9.023,62,4.456,200
,,,,,,,,,,9.039,62,4.456,200
,,,,,,,,,,9.056,62,4.456,200
,,,,,,,,,,9.071,62,4.456,200
,,,,,,,,,,9.088,62,4.456,200
,,,,,,,,,,9.106,62,4.456,200
,,,,,,,,,,9.123,62,4.456,200
,,,,,,,,,,9.139,60,4.456,198
,,,,,,,,,,9.155,60,4.456,200
,,,,,,,,,,9.172,60,4.456,200
,,,,,,,,,,9.19,58,4.456,200
,,,,,,,,,,9.206,60,4.456,200
,,,,,,,,,,9.222,60,4.456,200
,,,,,,,,,,9.24,60,4.456,202
,,,,,,,,,,9.256,60,4.456,202
,,,,,,,,,,9.272,60,4.456,202
,,,,,,,,,,9.289,60,4.456,202
,,,,,,,,,,9.305,58,4.456,202
,,,,,,,,,,9.323,60,4.456,204
,,,,,,,,,,9.339,60,4.456,204
,,,,,,,,,,9.356,60,4.456,204
,,,,,,,,,,9.373,60,4.456,204
,,,,,,,,,,9.389,60,4.456,204
,,,,,,,,,,9.405,58,4.456,206
,,,,,,,,,,9.422,60,4.456,208
,,,,,,,,,,9.438,58,4.456,208
,,,,,,,,,,9.456,58,4.456,210
,,,,,,,,,,9.473,56,4.456,210
,,,,,,,,,,9.489,58,4.456,210
,,,,,,,,,,9.506,58,4.456,212
,,,,,,,,,,9.522,56,4.456,212
,,,,,,,,,,9.539,58,4.456,212
,,,,,,,,,,9.556,56,4.456,212
,,,,,,,,,,9.572,58,4.456,212
,,,,,,,,,,9.589,56,4.456,214
,,,,,,,,,,9.606,56,4.456,214
,,,,,,,,,,9.623,58,4.456,214
,,,,,,,,,,9.639,58,4.456,212
,,,,,,,,,,9.656,56,4.456,214
,,,,,,,,,,9.672,56,4.456,214
,,,,,,,,,,9.689,56,4.456,214
,,,,,,,,,,9.706,56,4.456,214
,,,,,,,,,,9.722,56,4.456,212
,,,,,,,,,,9.74,56,4.456,212
,,,,,,,,,,9.756,56,4.456,212
,,,,,,,,,,9.773,56,4.456,212
,,,,,,,,,,9.789,56,4.456,212
,,,,,,,,,,9.806,58,4.456,212
,,,,,,,,,,9.823,56,4.456,212
,,,,,,,,,,9.839,58,4.456,212
,,,,,,,,,,9.856,58,4.456,212
,,,,,,,,,,9.873,58,4.456,210
,,,,,,,,,,9.889,58,4.456,210
,,,,,,,,,,9.905,58,4.456,210
,,,,,,,,,,9.923,60,4.456,210
,,,,,,,,,,9.939,60,4.456,210
,,,,,,,,,,9.956,60,4.456,208
,,,,,,,,,,9.972,60,4.456,208
,,,,,,,,,,9.989,60,4.456,208
,,,,,,,,,,10.005,60,4.456,208
,,,,,,,,,,10.023,60,4.456,208
,,,,,,,,,,10.039,60,4.456,208
,,,,,,,,,,10.056,60,4.456,208
,,,,,,,,,,10.071,58,4.456,208
,,,,,,,,,,10.09,58,4.456,210
